Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-34249,"Agricultural Research Station, Adiya",Gujarat,Patan,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34232,"Agricultural Research Station, Aseda",Gujarat,Banas Kantha,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34248,"Agricultural Research Station, Bhachau",Gujarat,Kachchh,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34250,"Agricultural Research Station, Bhiloda",Gujarat,Sabar Kantha,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34253,"Agricultural Research Station, Dehgam",Gujarat,Gandhinagar,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34246,"Agricultural Research Station, Khedbrahma",Gujarat,Sabar Kantha,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34235,"Agricultural Research Station, Kholwada",Gujarat,Patan,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34247,"Agricultural Research Station, Kothara",Gujarat,Kachchh,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34239,"Agricultural Research Station, Ladol",Gujarat,Mahesana,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34242,"Agricultural Research Station, Mundra",Gujarat,Kachchh,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34229,"Agricultural Research Station, Radhanpur",Gujarat,Patan,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34230,"Agricultural Research Station, Rapar",Gujarat,Kachchh,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-34233,"Agricultural Research Station, Talod",Gujarat,Sabar Kantha,-,-,-,PG Center / Off-Campus Center,-,U-0150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha",State Public University
C-47268,"AIR FORCE TEST PILOTS SCHOOL, BANGALORE",Karnataka,Bengaluru Urban,-,2005,Urban,PG Center / Off-Campus Center,Central Government,U-0249,"Visvesvaraya Technological University, Belagavi",State Public University
C-62535,AKKAMAHADEVI RESEARCH SKILL DEVELOPMENT AND EXTENSION CENTRE UDUTADI,Karnataka,Shivamogga,http://ka.kswu.ac.in/udutadipgcentre,2019,Rural,PG Center / Off-Campus Center,State Government,U-0229,"Karnataka State Women University, Bijapur",State Public University
C-57954,AKKAMAHADEVI WOMENS P G CENTRE ,Karnataka,Raichur,www.kswu.ac.in,2016,Urban,PG Center / Off-Campus Center,University,U-0229,"Karnataka State Women University, Bijapur",State Public University
