Sr.No,Round ,Institute ,PG Program ,Group ,Category ,Max GATE Score ,Min GATE Score 
1,Round 1,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,OBC-NCL,538,509
2,Round 1,"National Institute of Technology Karnataka, Surathkal",Communication Engineering and Networks,Group 1,EWS,541,529
3,Round 1,"National Institute of Technology Karnataka, Surathkal",Environmental Science & Technology,Group 1,OPEN,480,397
4,Round 1,"National Institute of Technology Karnataka, Surathkal",Environmental Engineering,Group 1,ST,313,298
5,Round 1,"National Institute of Technology Karnataka, Surathkal",Geotechnical Engineering,Group 1,EWS,382,363
6,Round 1,"National Institute of Technology Karnataka, Surathkal",MTech in Materials Process Technology,Group 1,OPEN,407,358
7,Round 1,"National Institute of Technology Karnataka, Surathkal",Materials Engineering,Group 1,ST,238,232
8,Round 1,"National Institute of Technology Karnataka, Surathkal",Mechatronics Engineering,Group 2,OBC-NCL,441,414
9,Round 1,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 1,EWS,664,664
10,Round 1,"National Institute of Technology Karnataka, Surathkal",Structural Engineering,Group 1,ST,472,348
11,Round 1,"National Institute of Technology Karnataka, Surathkal",VLSI Design,Group 1,OPEN,756,698
12,Round 1,"National Institute of Technology Karnataka, Surathkal",VLSI Design,Group 2,EWS,663,663
13,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering (Information Security),Group 1,OBC-NCL,708,694
14,Round 1,National Institute of Technology Nagaland,Communication Engineering,Group 1,SC,272,256
15,Round 1,National Institute of Technology Patna,Design Engineering,Group 1,SC,266,241
16,Round 1,National Institute of Technology Patna,Environmental Engineering,Group 1,OBC-NCL,370,337
17,Round 1,National Institute of Technology Patna,Geotechnical Engineering,Group 1,OPEN,397,359
18,Round 1,National Institute of Technology Patna,Structural Engineering,Group 1,EWS,363,351
19,Round 1,National Institute of Technology Patna,Thermal & Fluids Engineering,Group 1,OBC-NCL,339,321
20,Round 1,National Institute of Technology Puducherry,Computer Science & Engineering,Group 1,ST,330,330
21,Round 1,National Institute of Technology Raipur,M.Tech in Power System & Power Electronics,Group 1,OBC-NCL,366,358
22,Round 1,National Institute of Technology Raipur,M.Tech in Power System & Power Electronics,Group 2,ST,346,346
23,Round 1,National Institute of Technology Raipur,M.Tech in Planning (with specialization in Urban Planning),Group 1,OBC-NCL,423,372
24,Round 1,National Institute of Technology Raipur,Information Technology,Group 1,OPEN,598,565
25,Round 1,National Institute of Technology Raipur,Machine Design,Group 1,OPEN,352,352
26,Round 1,National Institute of Technology Raipur,Structural Engineering,Group 1,ST,298,298
27,Round 1,National Institute of Technology Sikkim,M.Tech in VLSI and Embedded Systems,Group 1,OPEN,475,448
28,Round 1,"National Institute of Technology, Jamshedpur",Data Science and Engineering,Group 1,SC,424,414
29,Round 1,"National Institute of Technology, Jamshedpur",Defence Technology- Combat Vehicle Engineering,Group 1,SC,249,245
30,Round 1,"National Institute of Technology, Jamshedpur",Computer Science & Engineering,Group 1,EWS,606,592
31,Round 1,"National Institute of Technology, Jamshedpur",Smart Manufacturing,Group 1,SC,231,207
32,Round 1,"National Institute of Technology, Kurukshetra",Production & Industrial Systems Engineering,Group 1,SC,383,383
33,Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,OPEN,689,608
34,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,ST,282,273
35,Round 1,"National Institute of Technology, Kurukshetra",Water Resources Engineering,Group 1,SC,211,211
36,Round 1,"National Institute of Technology, Manipur",Computer Science & Engineering,Group 1,SC,384,354
37,Round 1,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 2,OBC-NCL,471,471
38,Round 1,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 2,EWS,549,549
39,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,ST,244,239
40,Round 1,"National Institute of Technology, Rourkela",Master of Urban & Regional Planning,Group 1,SC,418,322
41,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,EWS,450,450
42,Round 1,"National Institute of Technology, Manipur",Computer Science & Engineering,Group 1,OPEN,543,485
43,Round 1,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 1,SC,362,362
44,Round 1,"National Institute of Technology, Rourkela",Industrial Refrigeration and Cryogenic Engineering,Group 2,OBC-NCL,397,397
45,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OPEN-PwD,252,252
46,Round 1,"National Institute of Technology, Rourkela",Chemical Engineering,Group 4,OPEN,432,418
47,Round 1,"National Institute of Technology, Rourkela",Construction Technology and Management,Group 1,ST,321,317
48,Round 1,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,ST,335,303
49,Round 1,"National Institute of Technology, Rourkela",Energy and Environmental Engineering,Group 1,OBC-NCL,440,440
50,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,OPEN,520,483
51,Round 1,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,Group 1,OPEN,686,651
52,Round 1,"National Institute of Technology, Rourkela",Computer Science,Group 1,OPEN-PwD,288,288
53,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,Group 1,SC,268,267
54,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,OBC-NCL,491,471
55,Round 1,"National Institute of Technology, Silchar",Data Science & Engineering,Group 1,SC,432,406
56,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,Group 1,OBC-NCL,382,317
57,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,Group 1,OPEN-PwD,269,269
58,Round 1,"National Institute of Technology, Srinagar",Transportation Engineering & Planning,Group 1,SC,249,243
59,Round 1,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,Group 1,OBC-NCL,452,423
60,Round 1,"National Institute of Technology, Tiruchirappalli",Communication Systems,Group 1,SC,420,397
61,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Engineering,Group 1,SC,306,293
62,Round 1,"National Institute of Technology, Tiruchirappalli",Industrial Metallurgy,Group 1,OBC-NCL,377,335
63,Round 1,"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,Group 1,OPEN,563,508
64,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,Group 1,ST,397,347
65,Round 1,"National Institute of Technology, Tiruchirappalli",VLSI System,Group 2,SC,582,549
66,Round 1,National Institute of Technology Uttarakhand,Power System & Renewable Energy,Group 1,EWS,319,319
67,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence and Machine Learning,Group 1,OBC-NCL,526,502
68,Round 1,National Institute of Technology Uttarakhand,Transportation Engineering,Group 1,SC,264,264
69,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,OBC-NCL,518,502
70,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,EWS,514,491
71,Round 1,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,SC,572,549
72,Round 1,"National Institute of Technology, Warangal",Engineering Structures,Group 1,ST,352,340
73,Round 1,"National Institute of Technology, Warangal",Environmental Engineering,Group 1,ST,318,298
74,Round 1,"National Institute of Technology, Warangal",Power Systems Engineering,Group 1,EWS,448,409
75,Round 1,"National Institute of Technology, Warangal",VLSI Systems Design,Group 1,ST,416,401
76,Round 1,"National Institute of Technology, Warangal",Computer Integrated Manufacturing,Group 1,ST,245,245
77,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Environmental Engineering,Group 1,EWS,317,317
78,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Communication System,Group 1,OPEN,541,436
79,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Thermal Systems Design,Group 1,SC,248,231
80,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Power System,Group 1,SC,310,299
81,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Turbo Machines,Group 1,SC,265,265
82,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Biomedical Engineering,Group 1,ST,278,278
83,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,Group 1,ST,332,303
84,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power & Energy Systems,Group 1,SC,318,306
85,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,Group 1,OBC-NCL,385,370
86,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,Group 2,OPEN,485,468
87,Round 1,National Institute of Technology Andhra Pradesh,Advanced Communication Systems and Signal Processing,Group 1,SC,360,360
88,Round 1,"National Institute of Technology, Rourkela",Water Resources Engineering,Group 1,ST,309,288
89,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,SC,440,407
90,Round 1,"National Institute of Technology, Silchar",Control & Industrial Automation,Group 1,ST,256,253
91,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,Group 1,OBC-NCL,327,311
92,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,Group 1,OPEN,380,354
93,Round 1,"National Institute of Technology, Silchar",Geotechnical Engineering,Group 1,SC,273,262
94,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,SC,476,370
95,Round 1,"National Institute of Technology, Silchar",Data Science & Engineering,Group 1,OBC-NCL,548,516
96,Round 1,"National Institute of Technology, Srinagar",Communication & Signal Processing,Group 1,OBC-NCL,389,334
97,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,Group 1,SC,344,256
98,Round 1,"National Institute of Technology, Tiruchirappalli",Communication Systems,Group 1,OBC-NCL,584,545
99,Round 1,"National Institute of Technology, Tiruchirappalli",Data Analytics,Group 1,ST,450,435
100,Round 1,"National Institute of Technology, Tiruchirappalli",Environmental Engineering,Group 3,OPEN,376,376
101,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Engineering,Group 1,OBC-NCL,390,366
102,Round 1,"National Institute of Technology, Tiruchirappalli",Geotechnical Engineering,Group 1,ST,400,400
103,Round 1,"National Institute of Technology, Tiruchirappalli",Industrial Automation,Group 1,EWS,378,378
104,Round 1,"National Institute of Technology, Tiruchirappalli",Industrial Automation,Group 2,SC,334,334
105,Round 1,"National Institute of Technology, Tiruchirappalli",Manufacturing Technology,Group 1,OBC-NCL,508,477
106,Round 1,"National Institute of Technology, Tiruchirappalli",Non Destructive Testing,Group 1,OPEN,518,397
107,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,Group 1,SC,429,385
108,Round 1,National Institute of Technology Uttarakhand,Power Electronics & Electric Vehicle,Group 1,OBC-NCL,346,342
109,Round 1,National Institute of Technology Uttarakhand,Signal Processing and Communication System,Group 1,OPEN,424,377
110,Round 1,"National Institute of Technology, Warangal",Electronics and Communication Engineering - Embedded & Machine Learning Systems (EMLS),Group 1,ST,377,338
111,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OPEN,574,433
112,Round 1,"National Institute of Technology, Warangal",Control & Automation,Group 1,OPEN,563,519
113,Round 1,"National Institute of Technology, Warangal",Control & Automation,Group 1,ST,301,301
114,Round 1,"National Institute of Technology, Warangal",Control & Automation,Group 4,OPEN,574,574
115,Round 1,"National Institute of Technology, Warangal",Machine Design,Group 1,OPEN,660,580
116,Round 1,"National Institute of Technology, Warangal",Machine Design,Group 1,ST,359,290
117,Round 1,"National Institute of Technology, Warangal",Thermal Engineering,Group 1,OPEN,556,521
118,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",CAD-CAM,Group 1,OPEN,470,352
119,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Chemical Engineering,Group 1,OPEN,438,354
120,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Mechanical Engineering,Group 1,EWS,352,338
121,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Power Electronics & Electrical Drives,Group 1,OPEN,464,424
122,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Power System,Group 1,ST,291,291
123,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Transportation Engineering & Planning,Group 1,OBC-NCL,352,337
124,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,SC,389,375
125,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,Group 1,EWS,342,342
126,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,Group 1,EWS,409,370
127,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Environmental Engineering,Group 1,SC,325,297
128,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Excavation Engineering,Group 1,OBC-NCL,351,317
129,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Production & Industrial Engineering,Group 1,EWS,316,316
130,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,Group 1,SC,316,311
131,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,Group 2,OBC-NCL,412,412
132,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science & Engineering,Group 1,EWS,677,671
133,Round 1,National Institute of Technology Andhra Pradesh,Power Electronics and Drives,Group 1,OBC-NCL,378,354
134,Round 1,National Institute of Technology Durgapur,Environmental Science & Technology,Group 1,EWS,303,303
135,Round 1,National Institute of Technology Durgapur,Geotechnical Engineering,Group 1,SC,279,267
136,Round 1,National Institute of Technology Durgapur,Operations Research,Group 1,OPEN,529,485
137,Round 1,National Institute of Technology Durgapur,Operations Research,Group 1,SC,397,367
138,Round 1,National Institute of Technology Durgapur,Power Electronics & Machine Drives,Group 1,OPEN,551,415
139,Round 1,National Institute of Technology Durgapur,Power System,Group 1,OBC-NCL,370,362
140,Round 1,National Institute of Technology Goa,Computer Science & Engineering,Group 1,OPEN,655,581
141,Round 1,National Institute of Technology Hamirpur,Civil Engineering (Environment),Group 1,OPEN,359,359
142,Round 1,National Institute of Technology Hamirpur,Civil Engineering (Geotechnical),Group 1,OBC-NCL,321,321
143,Round 1,National Institute of Technology Hamirpur,Civil Engineering (Structures),Group 1,EWS,366,325
144,Round 1,National Institute of Technology Hamirpur,Sustainable Architecture,Group 1,EWS,329,329
145,Round 1,National Institute of Technology Hamirpur,Electronics & Communication Engineering (Communications System and Networks),Group 1,OBC-NCL,377,362
146,Round 1,National Institute of Technology Hamirpur,Electronics & Communication Engineering (VLSI Design),Group 1,OBC-NCL,463,444
147,Round 1,National Institute of Technology Hamirpur,Computer Science & Engineering,Group 1,ST,390,390
148,Round 1,National Institute of Technology Hamirpur,Electrical Engineering (Condition Monitoring of Power Apparatus),Group 1,OBC-NCL,330,326
149,Round 1,National Institute of Technology Hamirpur,Electrical Engineering (Power System),Group 1,OBC-NCL,350,342
150,Round 1,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,Group 1,OPEN,777,733
151,Round 1,"National Institute of Technology Karnataka, Surathkal",Geotechnical Engineering,Group 1,OBC-NCL,442,415
152,Round 1,"National Institute of Technology Karnataka, Surathkal",Mechatronics Engineering,Group 1,EWS,456,456
153,Round 1,"National Institute of Technology Karnataka, Surathkal",Mechatronics Engineering,Group 2,OPEN,526,454
154,Round 1,"National Institute of Technology Karnataka, Surathkal",Power & Energy Systems,Group 1,ST,358,358
155,Round 1,"National Institute of Technology Karnataka, Surathkal",Signal Processing and Machine Learning,Group 2,EWS,530,530
156,Round 1,"National Institute of Technology Karnataka, Surathkal",Structural Engineering,Group 1,OPEN,760,532
157,Round 1,"National Institute of Technology Karnataka, Surathkal",Thermal Engineering,Group 1,SC,380,345
158,Round 1,"National Institute of Technology Karnataka, Surathkal",VLSI Design,Group 1,OBC-NCL,681,665
159,Round 1,National Institute of Technology Meghalaya,Power & Energy Systems,Group 1,SC,275,244
160,Round 1,National Institute of Technology Meghalaya,VLSI & Embedded Systems,Group 1,OBC-NCL,412,380
161,Round 1,National Institute of Technology Puducherry,Structural Engineering - Resilience and Sustainability,Group 1,EWS,348,348
162,Round 1,National Institute of Technology Puducherry,VLSI Design,Group 1,OBC-NCL,467,452
163,Round 1,National Institute of Technology Raipur,Information Technology,Group 2,OPEN,632,632
164,Round 1,National Institute of Technology Raipur,VLSI & Embedded Systems,Group 2,SC,367,367
165,Round 1,National Institute of Technology Sikkim,M.Tech in Artificial Intelligence and Machine Learning,Group 1,ST,281,281
166,Round 1,National Institute of Technology Arunachal Pradesh,Microelectronics and intelligent System,Group 1,OPEN,370,370
167,Round 1,National Institute of Technology Arunachal Pradesh,Computer Science & Engineering,Group 1,SC,368,357
168,Round 1,"National Institute of Technology, Jamshedpur",Operations and Supply Chain Management,Group 1,SC,274,246
169,Round 1,"National Institute of Technology, Jamshedpur",Geotechnical Engineering,Group 1,OPEN,370,370
170,Round 1,"National Institute of Technology, Jamshedpur",Information Systems Security Engineering,Group 1,OBC-NCL,529,516
171,Round 1,"National Institute of Technology, Jamshedpur",Water Resources Engineering,Group 1,SC,262,260
172,Round 1,"National Institute of Technology, Jamshedpur",Computer Science & Engineering,Group 1,OBC-NCL,602,589
173,Round 1,"National Institute of Technology, Kurukshetra",Production & Industrial Systems Engineering,Group 1,OPEN,732,732
174,Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering (Cyber Security),Group 1,SC,464,431
175,Round 1,"National Institute of Technology, Kurukshetra",Geotechnical Engineering,Group 1,ST,260,260
176,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,OPEN,494,389
177,Round 1,"National Institute of Technology, Kurukshetra",VLSI Design,Group 1,OBC-NCL,581,541
178,Round 1,"National Institute of Technology, Manipur",Environmental and Water Resources Engineering,Group 1,SC,252,252
179,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,ST,303,295
180,Round 1,"National Institute of Technology, Rourkela",RF and Microwave systems,Group 3,OBC-NCL,469,469
181,Round 1,"National Institute of Technology, Rourkela",Mechanical Systems Design and Control,Group 3,ST,248,248
182,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,OBC-NCL,420,379
183,Round 1,"National Institute of Technology, Rourkela",Master of Urban & Regional Planning,Group 1,ST,378,378
184,Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,OPEN,715,546
185,Round 1,"National Institute of Technology, Rourkela",Chemical Engineering,Group 1,OBC-NCL,513,513
186,Round 1,"National Institute of Technology, Rourkela",Energy and Environmental Engineering,Group 2,OPEN,397,396
187,Round 1,"National Institute of Technology, Rourkela",Electronic Systems & Communication,Group 1,OPEN-PwD,318,318
188,Round 1,"National Institute of Technology, Rourkela",Environmental Engineering,Group 1,OBC-NCL,397,397
189,Round 1,"National Institute of Technology, Rourkela",Food Process Engineering,Group 1,EWS,362,362
190,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,SC,514,505
191,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 2,SC,332,332
192,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,EWS,409,405
193,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,SC,362,334
194,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,OPEN-PwD,250,250
195,Round 1,"National Institute of Technology, Rourkela",Thermal Engineering,Group 3,OBC-NCL,456,435
196,Round 1,"National Institute of Technology, Rourkela",Computer Science,Group 1,SC,572,556
197,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OPEN,600,579
198,Round 1,"National Institute of Technology, Silchar",Instrumentation Engineering,Group 1,EWS,327,327
199,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,OPEN,569,492
200,Round 1,"National Institute of Technology, Silchar",Microelectronics & VLSI Design,Group 1,ST,335,299
201,Round 1,"National Institute of Technology, Silchar",Material & Manufacturing Technology,Group 1,SC,252,249
202,Round 1,"National Institute of Technology, Silchar",Structural Dynamics & Earthquake Engineering,Group 1,ST,245,245
203,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,Group 1,OPEN,543,442
204,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,Group 1,ST,284,260
205,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Efficient & Sustainable Architecture,Group 1,ST,423,316
206,Round 1,"National Institute of Technology, Tiruchirappalli",Environmental Engineering,Group 3,SC,314,314
207,Round 1,"National Institute of Technology, Tiruchirappalli",Industrial Safety Engineering,Group 2,EWS,393,393
208,Round 1,"National Institute of Technology, Tiruchirappalli",Industrial Engineering & Management,Group 1,ST,362,253
209,Round 1,"National Institute of Technology, Tiruchirappalli",Non Destructive Testing,Group 1,ST,272,255
210,Round 1,"National Institute of Technology, Tiruchirappalli",Process Control and Instrumentation,Group 1,OBC-NCL,456,417
211,Round 1,"National Institute of Technology, Tiruchirappalli",Power Electronics,Group 1,EWS,594,582
212,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,Group 1,OPEN,586,512
213,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,Group 1,OBC-NCL,397,345
214,Round 1,"National Institute of Technology, Warangal",Electronics and Communication Engineering - Embedded & Machine Learning Systems (EMLS),Group 1,OBC-NCL,565,538
215,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,SC,380,365
216,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,EWS,421,405
217,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,SC,370,338
218,Round 1,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,OBC-NCL,724,702
219,Round 1,"National Institute of Technology, Warangal",Computer Science & Information Security,Group 1,OPEN,757,743
220,Round 1,"National Institute of Technology, Warangal",Geoinformatics,Group 1,EWS,375,356
221,Round 1,"National Institute of Technology, Warangal",Computer Science & Engineering,Group 1,OPEN-PwD,314,314
222,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Control and Automation,Group 1,ST,279,279
223,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Communication System,Group 1,SC,323,319
224,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Information Security and privacy,Group 1,OBC-NCL,585,560
225,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,OPEN,495,495
226,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,OBC-NCL,500,492
227,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,OPEN,567,504
228,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,ST,414,414
229,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,EWS,571,527
230,Round 1,"National Institute of Technology, Rourkela",Thermal Engineering,Group 3,OPEN,511,470
231,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OBC-NCL,546,519
232,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OPEN-PwD,304,304
233,Round 1,"National Institute of Technology, Silchar",CAD-CAM & Automation,Group 1,SC,273,260
234,Round 1,"National Institute of Technology, Silchar",Design & Manufacturing,Group 1,ST,248,248
235,Round 1,"National Institute of Technology, Silchar",Power & Energy Systems Engineering,Group 1,SC,311,283
236,Round 1,"National Institute of Technology, Silchar",Communication & Signal Processing,Group 1,OPEN,545,450
237,Round 1,"National Institute of Technology, Silchar",Computer Science & Engineering,Group 1,EWS,595,581
238,Round 1,"National Institute of Technology, Srinagar",Chemical Engineering,Group 1,OPEN,369,369
239,Round 1,"National Institute of Technology, Srinagar",Microelectronics,Group 1,EWS,366,366
240,Round 1,"National Institute of Technology, Srinagar",Computer Science & Engineering,Group 1,OBC-NCL,503,491
241,Round 1,"National Institute of Technology, Tiruchirappalli",Environmental Engineering,Group 2,OPEN,559,476
242,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Engineering,Group 2,ST,295,295
243,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Engineering,Group 3,OPEN,611,578
244,Round 1,"National Institute of Technology, Tiruchirappalli",Industrial Automation,Group 1,SC,313,313
245,Round 1,"National Institute of Technology, Tiruchirappalli",Industrial Automation,Group 4,SC,369,369
246,Round 1,"National Institute of Technology, Tiruchirappalli",Power Systems,Group 1,OBC-NCL,496,472
247,Round 1,"National Institute of Technology, Tiruchirappalli",Structural Engineering,Group 1,ST,533,419
248,Round 1,"National Institute of Technology, Tiruchirappalli",Transportation Engineering & Management,Group 1,EWS,454,439
249,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,Group 1,OPEN,485,400
250,Round 1,National Institute of Technology Uttarakhand,Structural Engineering,Group 1,EWS,333,333
251,Round 1,"National Institute of Technology, Warangal",Electronics and Communication Engineering - Embedded & Machine Learning Systems (EMLS),Group 1,OPEN,643,577
252,Round 1,"National Institute of Technology, Warangal",Control & Automation,Group 1,EWS,448,448
253,Round 1,"National Institute of Technology, Warangal",Control & Automation,Group 3,OPEN,592,592
254,Round 1,"National Institute of Technology, Warangal",Chemical Engineering,Group 1,OPEN,462,418
255,Round 1,"National Institute of Technology, Warangal",Transportation Engineering,Group 1,EWS,400,382
256,Round 1,"National Institute of Technology, Warangal",Thermal Engineering,Group 1,SC,383,345
257,Round 1,"National Institute of Technology, Warangal",Geo-technical Engineering,Group 1,EWS,367,351
258,Round 1,"National Institute of Technology, Warangal",Water Resources Engineering,Group 1,EWS,347,317
259,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Construction Technology and Management,Group 1,OBC-NCL,463,418
260,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Geotechnical Engineering,Group 1,ST,283,283
261,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Manufacturing Engineering,Group 1,OBC-NCL,331,318
262,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Information Security and privacy,Group 1,OPEN,610,585
263,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Power Electronics & Electrical Drives,Group 1,SC,342,318
264,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Thermal Systems Design,Group 1,EWS,323,323
265,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Power System,Group 1,EWS,358,342
266,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,OPEN,659,549
267,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,Group 1,ST,238,238
268,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,Group 1,ST,272,251
269,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Construction Technology and Management,Group 1,OBC-NCL,445,419
270,Round 1,National Institute of Technology Andhra Pradesh,Bioprocess Engineering,Group 1,OPEN,534,476
271,Round 1,"National Institute of Technology, Jamshedpur",Structural Engineering,Group 1,SC,272,266
272,Round 1,"National Institute of Technology, Jamshedpur",Water Resources Engineering,Group 1,OBC-NCL,321,321
273,Round 1,"National Institute of Technology, Kurukshetra",Geotechnical Engineering,Group 1,OBC-NCL,336,323
274,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,EWS,510,510
275,Round 1,"National Institute of Technology, Kurukshetra",VLSI Design,Group 1,OBC-NCL-PwD,280,280
276,Round 1,"National Institute of Technology, Kurukshetra",Computer Engineering,Group 1,ST,327,310
277,Round 1,"National Institute of Technology, Manipur",Power System and Control System,Group 1,ST,263,263
278,Round 1,"National Institute of Technology, Manipur",Structural Engineering,Group 1,OBC-NCL,321,321
279,Round 1,National Institute of Technology Mizoram,Microelectronics and VLSI System Design,Group 1,OBC-NCL,362,350
280,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,OBC-NCL,450,445
281,Round 1,"National Institute of Technology, Rourkela",Industrial Refrigeration and Cryogenic Engineering,Group 1,OPEN,450,450
